,Queens_All,Queens_Q1,Queens_Q2,Queens_Q3,Queens_Q4,Queens_Q5,Queens_All_MoM,Queens_Q1_MoM,Queens_Q2_MoM,Queens_Q3_MoM,Queens_Q4_MoM,Queens_Q5_MoM,Queens_All_YoY,Queens_Q1_YoY,Queens_Q2_YoY,Queens_Q3_YoY,Queens_Q4_YoY,Queens_Q5_YoY
1998-07,,,,,,,,,,,,,,,,,,
1998-08,,,,,,,,,,,,,,,,,,
1998-09,,,,,,,,,,,,,,,,,,
1998-10,,,,,,,,,,,,,,,,,,
1998-11,,,,,,,,,,,,,,,,,,
1998-12,,,,,,,,,,,,,,,,,,
1999-01,,,,,,,,,,,,,,,,,,
1999-02,,,,,,,,,,,,,,,,,,
1999-03,,,,,,,,,,,,,,,,,,
1999-04,,,,,,,,,,,,,,,,,,
1999-05,,,,,,,,,,,,,,,,,,
1999-06,,,,,,,,,,,,,,,,,,
1999-07,,,,,,,,,,,,,,,,,,
1999-08,,,,,,,,,,,,,,,,,,
1999-09,,,,,,,,,,,,,,,,,,
1999-10,,,,,,,,,,,,,,,,,,
1999-11,,,,,,,,,,,,,,,,,,
1999-12,,,,,,,,,,,,,,,,,,
2000-01,,,,,,,,,,,,,,,,,,
2000-02,,,,,,,,,,,,,,,,,,
2000-03,,,,,,,,,,,,,,,,,,
2000-04,,,,,,,,,,,,,,,,,,
2000-05,,,,,,,,,,,,,,,,,,
2000-06,,,,,,,,,,,,,,,,,,
2000-07,,,,,,,,,,,,,,,,,,
2000-08,,,,,,,,,,,,,,,,,,
2000-09,,,,,,,,,,,,,,,,,,
2000-10,,,,,,,,,,,,,,,,,,
2000-11,,,,,,,,,,,,,,,,,,
2000-12,,,,,,,,,,,,,,,,,,
2001-01,,,,,,,,,,,,,,,,,,
2001-02,,,,,,,,,,,,,,,,,,
2001-03,,,,,,,,,,,,,,,,,,
2001-04,,,,,,,,,,,,,,,,,,
2001-05,,,,,,,,,,,,,,,,,,
2001-06,,,,,,,,,,,,,,,,,,
2001-07,,,,,,,,,,,,,,,,,,
2001-08,,,,,,,,,,,,,,,,,,
2001-09,,,,,,,,,,,,,,,,,,
2001-10,,,,,,,,,,,,,,,,,,
2001-11,,,,,,,,,,,,,,,,,,
2001-12,,,,,,,,,,,,,,,,,,
2002-01,,,,,,,,,,,,,,,,,,
2002-02,,,,,,,,,,,,,,,,,,
2002-03,,,,,,,,,,,,,,,,,,
2002-04,,,,,,,,,,,,,,,,,,
2002-05,,,,,,,,,,,,,,,,,,
2002-06,,,,,,,,,,,,,,,,,,
2002-07,,,,,,,,,,,,,,,,,,
2002-08,,,,,,,,,,,,,,,,,,
2002-09,,,,,,,,,,,,,,,,,,
2002-10,,,,,,,,,,,,,,,,,,
2002-11,,,,,,,,,,,,,,,,,,
2002-12,,,,,,,,,,,,,,,,,,
2003-01,,,,,,,,,,,,,,,,,,
2003-02,,,,,,,,,,,,,,,,,,
2003-03,,,,,,,,,,,,,,,,,,
2003-04,,,,,,,,,,,,,,,,,,
2003-05,,,,,,,,,,,,,,,,,,
2003-06,,,,,,,,,,,,,,,,,,
2003-07,,,,,,,,,,,,,,,,,,
2003-08,,,,,,,,,,,,,,,,,,
2003-09,,,,,,,,,,,,,,,,,,
2003-10,,,,,,,,,,,,,,,,,,
2003-11,,,,,,,,,,,,,,,,,,
2003-12,,,,,,,,,,,,,,,,,,
2004-01,,,,,,,,,,,,,,,,,,
2004-02,,,,,,,,,,,,,,,,,,
2004-03,,,,,,,,,,,,,,,,,,
2004-04,,,,,,,,,,,,,,,,,,
2004-05,,,,,,,,,,,,,,,,,,
2004-06,,,,,,,,,,,,,,,,,,
2004-07,,,,,,,,,,,,,,,,,,
2004-08,,,,,,,,,,,,,,,,,,
2004-09,,,,,,,,,,,,,,,,,,
2004-10,,,,,,,,,,,,,,,,,,
2004-11,,,,,,,,,,,,,,,,,,
2004-12,,,,,,,,,,,,,,,,,,
2005-01,569614.3054200222,237219.3386487329,413418.8259808989,468069.9410552954,552090.9092229906,777988.3458831763,,,,,,,,,,,,
2005-02,560350.0241708755,245706.2247221528,410283.8638697897,464661.7035623605,569977.2384318032,805822.0735023902,-0.016264130238645258,0.03577653542819714,-0.007583017303750106,-0.007281470553846758,0.03239743475216006,0.03577653542819714,,,,,,
2005-03,555311.2537074743,241022.1188226086,403110.6679000969,480811.5156937712,565776.7434646884,804621.3223700683,-0.00899218389587264,-0.019063847099686004,-0.01748349521240078,0.03475606448217494,-0.007369583702450555,-0.0014900946149353222,,,,,,
2005-04,568353.9004112765,248709.9056264761,401553.4627127284,479198.5918588816,571079.8912472309,854893.0492491404,0.02348709235896873,0.03189660285712481,-0.0038629719116102246,-0.0033545865318185264,0.009373216279741747,0.06247874059687275,,,,,,
2005-05,578240.9329959205,228928.8477228094,417427.3678266962,478375.8999653051,587343.7502104308,847889.2583741565,0.017395908741876243,-0.0795346604866426,0.03953123702814132,-0.0017168078278050336,0.028479130875506575,-0.00819259307481257,,,,,,
2005-06,581366.5936253058,228128.1092799701,415153.6104682678,502824.1290736555,582663.8748143545,848200.8825373304,0.005405464143105387,-0.0034977612074860165,-0.00544707303276859,0.05110673240462904,-0.00796786446505926,0.0003675293207174857,,,,,,
2005-07,588019.7668765197,220989.5539931477,427770.7540655798,500744.8782111832,596961.5357545762,851117.3207183742,0.011444024001664443,-0.03129187064826622,0.030391506370571086,-0.004135145356494507,0.024538437267587865,0.0034383814507708,,,,,,
2005-08,596443.1256549342,232471.1456929137,427186.2048768466,501322.9334178729,607496.9840091965,858293.6057333194,0.014324958535251842,0.05195535939278839,-0.0013665010596858318,0.0011543906524908998,0.017648454085577248,0.00843160495064077,,,,,,
2005-09,601045.6300991181,241925.8961768263,433005.8958927211,503654.7510247645,610407.5851168026,848085.7124272364,0.007716585615988203,0.040670640890641874,0.013623312151552769,0.004651328418179501,0.00479113672037923,-0.01189324170411532,,,,,,
2005-10,609822.7480263349,251117.7350796601,440319.245370861,505637.452677165,615908.0006051693,857772.7676775344,0.014603080843911043,0.03799443981852768,0.016889722628515624,0.003936628510634366,0.009011053634456756,0.011422259694215953,,,,,,
2005-11,618620.85613268,269812.4761474047,439513.7544877366,514331.632543512,625378.842741839,856775.1910198868,0.014427320290723467,0.0744461201110076,-0.001829333810848932,0.017194493446469394,0.015377040284204613,-0.0011629847615104438,,,,,,
2005-12,615608.7344688775,280172.8424201609,439913.9346021375,517269.4024309384,628300.2053505277,863967.0936262729,-0.004869091680213877,0.038398395881056535,0.000910506463824623,0.005711820353919039,0.004671348643456863,0.008394153661037906,,,,,,
2006-01,623804.5599407885,332363.5137602171,458181.6384670401,510044.9936753396,627770.264079068,872401.9457526018,0.013313367749699045,0.18628026502935846,0.041525631329282886,-0.0139664335869224,-0.0008434523289134743,0.00976293216322155,0.09513499574208817,0.4010810233830506,0.10827473175643276,0.08967688146222041,0.13707770512394046,0.12135605934076898
2006-02,624156.2890092416,314871.256081677,449757.2987965184,513677.48689845,624528.6494869274,880932.5966070456,0.0005638449781233401,-0.052629897549945515,-0.018386462841914364,0.007121907416314244,-0.0051636956664329325,0.0097783491840846,0.1138685858589501,0.2814948275638385,0.09621005943157512,0.10548703058656805,0.09570805179030195,0.09320981091793423
2006-03,622664.0561015431,271664.9925536847,438931.8720239245,522240.4905032538,629024.5423001932,888499.9752864813,-0.0023908000832086884,-0.13721882418122244,-0.02406948547930432,0.016669999801834035,0.007198857597580766,0.008590190337582904,0.12128838006504505,0.12713718508810024,0.08886196019179815,0.08616468919157239,0.11178932249528262,0.1042461224732929
2006-04,620922.1338778221,261471.2307356793,444383.7445662624,519979.8674921769,621736.9130281804,905193.2022924519,-0.002797531360051675,-0.03752328086951051,0.012420771627266847,-0.004328701148580971,-0.01158560402963571,0.018788100698132304,0.09249207831336381,0.05131007981792557,0.10666146809988986,0.08510307902846459,0.08870391438633063,0.05883794831118405
2006-05,621695.7093583085,281309.5323664493,440420.513867018,523318.4553448263,621517.0302127708,903052.4182666758,0.0012458494202085557,0.07587183329864877,-0.008918487113232954,0.0064206098377446175,-0.0003536589364441234,-0.002365002322547771,0.07514994854695711,0.22880770669436656,0.05508298643673948,0.09394820136796334,0.05818275922761851,0.06505939230589575
2006-06,626950.1282758602,283242.3725293293,442121.3220383342,507538.3571979239,619150.480141517,904591.4862974301,0.00845175354833172,0.006870866218504856,0.0038617823597331125,-0.030153911037791525,-0.003807699477588966,0.0017042953427979235,0.07840755755555717,0.24159347755659644,0.06495839344778553,0.009375500998636044,0.06262033207187878,0.06648260444083887
2006-07,634984.6939013697,286091.0021919943,445634.3766566004,507757.0733811509,642595.0675094506,906224.0780407396,0.012815318576622436,0.010057215794469387,0.007945906345502074,0.00043093527833937273,0.03786573396918791,0.0018047834498109427,0.07986963988357276,0.29459061309687606,0.04175980340227281,0.014003528493426565,0.07644300180445018,0.06474637042499998
2006-08,642856.0505056515,279702.5514755175,445162.6209100978,528082.0035174646,659455.177180574,905080.0172861104,0.012396135969703348,-0.022330135053284628,-0.0010586161463619348,0.04002884686759778,0.0262375335940086,-0.0012624479776598418,0.07781617870061419,0.20317104577354672,0.042080984423253254,0.05337691199793371,0.0855283146073873,0.05451096366122532
2006-09,643141.3755065259,280064.2073572382,437818.4387868161,542028.8842476307,670240.3752059763,909725.831365897,0.00044383964442729074,0.0012930017256291837,-0.016497751110071013,0.026410445039346753,0.016354709764374142,0.005133042373111962,0.07003752011384856,0.15764460019830295,0.011114266433192688,0.0761913456485579,0.09802104617970064,0.07268147315233686
2006-10,646219.9337226811,290294.075002582,441692.5965142919,536134.8716791953,672586.5406887716,929735.627097755,0.004786751923293142,0.03652686554228257,0.008848776991236429,-0.010873982438438956,0.003500483661663001,0.02199541338934452,0.059684860583085975,0.15600785786991223,0.003118989591913257,0.06031479440567078,0.09202436082647414,0.08389501524403009
2006-11,646419.7459157684,301799.609132384,438467.3662462646,537600.3204762951,673466.5239520987,928479.2384980855,0.00030920153133662254,0.0396340646280835,-0.007301979461462271,0.002733358478455017,0.0013083569326646227,-0.001351339631451287,0.044936877745884285,0.11855320199316521,-0.0023807861091664773,0.04524063164793701,0.07689368095573812,0.08369062063158461
2006-12,645908.8375825108,308827.5648314456,442563.2843490039,540598.5095766347,674522.2040580302,921623.0095948054,-0.000790366223318073,0.023286828366894108,0.009341443441514441,0.005576985329330375,0.0015675316714132137,-0.007384364258236742,0.049219742048941084,0.1022751604465384,0.006022427430634858,0.04510049702545671,0.07356674136643848,0.06673392585652449
2007-01,641725.5614361791,310512.2888456558,437597.9654552645,536930.9614137344,672266.0070403067,912559.309979248,-0.0064765736322617284,0.005455225524087393,-0.01121945509113631,-0.0067842365414078065,-0.003344881760970697,-0.009834497968472355,0.028728551610927022,-0.06574495698202854,-0.0449247007816449,0.05271293331330784,0.0708790229599574,0.04603080543567928
2007-02,636499.75974162,305730.737431926,435039.3654486582,537236.1733547159,652198.7332556725,915289.1360013933,-0.008143359106443815,-0.015398912009265131,-0.005846919338266199,0.0005684379611448076,-0.029850198544147166,0.0029913957287963644,0.019776249874805973,-0.029029384147341575,-0.03272416787285759,0.04586279729429399,0.04430554753809468,0.03900019085077977
2007-03,631042.1483502873,304624.0549421672,429303.1505758163,528776.2116159764,645748.6748588933,924913.4765224603,-0.008574412335282222,-0.0036197946567451122,-0.013185507630846471,-0.01574719305647676,-0.009889713162399949,0.010515082221026484,0.01345523668284132,0.1213224496784191,-0.02193671059636193,0.012514772851918154,0.02658740865267961,0.04098312014498151
2007-04,627402.8974984551,298072.26734938,427678.8610005203,532343.3251459692,652790.1960342923,897732.0654230836,-0.005767048780095263,-0.02150778143253007,-0.0037835491612799865,0.006745979587643447,0.010904429926918091,-0.029388058223105196,0.010437320989282517,0.13998112339441504,-0.03759112202010628,0.023776800654649044,0.04994601793042408,-0.00824259047733955
2007-05,614407.2500898954,284079.8434145976,422217.2600804323,525639.0110754955,642955.2515085042,870552.5781545998,-0.020713400369005597,-0.04694305867235016,-0.012770331709430316,-0.012593966626021524,-0.015066011385488909,-0.030275722919259507,-0.01172351547340722,0.009847910324416453,-0.04133153023858027,0.004434308989045954,0.034493377097638334,-0.03598887446030696
2007-06,615365.4595549008,285072.1467622714,429449.1519480898,528162.9644061272,635891.3753774543,878770.5069662897,0.0015595673144566113,0.0034930438419933374,0.017128366249830496,0.004801685714816983,-0.010986575060202952,0.009439899459157797,-0.01847781537714621,0.006460100643143063,-0.028662200754809186,0.04063654877647083,0.027038491889905147,-0.02854435369144126
2007-07,614139.9469340189,283835.3565539151,426504.5752302916,523332.2942647514,635343.8586743587,879548.6228936819,-0.001991520001412339,-0.004338516485750232,-0.006856636471258337,-0.009146173561804805,-0.0008610223762991476,0.0008854597659158081,-0.032827164445933255,-0.007884364138671662,-0.04292712238636376,0.030674552261547472,-0.011284258472751607,-0.02943582695874758
2007-08,609960.9632515537,282160.8952956287,428362.282351468,520635.587281051,625888.7171211718,877273.9782843733,-0.006804611397333682,-0.005899410413897188,0.004355655786748125,-0.005152953512049474,-0.014881927989223054,-0.00258614992975037,-0.051170222677726196,0.008789136198946501,-0.037739778160805426,-0.0141008710518713,-0.050900290453267605,-0.030722188613901524
2007-09,602320.9239895579,267964.1696250052,431957.6861875765,515615.3978636196,621653.5271601265,850588.9701652095,-0.01252545609028588,-0.050314291977806236,0.008393371648810266,-0.0096424246441712,-0.006766682071735364,-0.030418100593100794,-0.0634704173476921,-0.04320451315936524,-0.013386262614885736,-0.04873077275332782,-0.07249167588705507,-0.06500514678350633
2007-10,605001.2604455418,277037.385772971,424804.774291829,518441.2120023792,620437.9050238233,858875.6286403477,0.004450013853462664,0.03385981103616609,-0.016559288385116,0.005480468873637179,-0.001955465678537216,0.00974225949994234,-0.06378428012842441,-0.04566641337579158,-0.03823433391398601,-0.03300225486433839,-0.07753446212519333,-0.07621521257457076
2007-11,595453.8072326822,265324.6165122245,419867.2964651412,515293.5533076671,618383.0400686314,834523.3249647144,-0.01578088152383106,-0.04227865935157582,-0.01162293393457925,-0.006071389815934691,-0.0033119590833395884,-0.028353702053677488,-0.07884341251191807,-0.12085831630139654,-0.042420647950061396,-0.04149321776606263,-0.08179097538541524,-0.10119333813576159
2007-12,590293.5410759223,264688.4969658291,417146.6633355255,507314.8980946894,611566.171237977,832627.3438744821,-0.008666106579688804,-0.0023975142403195315,-0.006479745273139104,-0.015483708580793842,-0.011023699534026488,-0.0022719330107549007,-0.08610394109909347,-0.14292463786290266,-0.057430478108606464,-0.06156807851359247,-0.09333426304026748,-0.09656406664526596
2008-01,584145.4854936092,266650.456266439,414468.8054833897,498695.3543443622,605954.0436241262,825387.9899592949,-0.010415251319042196,0.007412333074916955,-0.006419463674295023,-0.01699051966086429,-0.009176648215335814,-0.008694590645438316,-0.08972694778388746,-0.1412563500860956,-0.05285481605887232,-0.07121140298689077,-0.09863947116428362,-0.09552400492405844
2008-02,580232.1823359976,252770.4986050682,413343.7945201371,491072.4396764074,611926.049782684,824241.7180008881,-0.006699192675100218,-0.05205300548033509,-0.002714344115573586,-0.015285714217203261,0.009855543042241344,-0.0013887674310154585,-0.08840156896282825,-0.17322510412826886,-0.049870362665103585,-0.08592819316324862,-0.06174909796582051,-0.09947394153312294
2008-03,571142.1183740912,258608.2278297074,411846.7302378938,486873.7743081718,605180.0236455549,810024.21023094,-0.015666252646156287,0.02309497847594999,-0.003621838048835979,-0.00854999187289407,-0.011024250625585874,-0.017249197000645866,-0.09492239168618255,-0.1510577591162191,-0.04066222275449993,-0.0792441800279704,-0.06282421132680338,-0.12421623125601677
2008-04,563952.658379868,244740.0271597865,410489.1355465536,494170.9677822744,596016.275476508,806148.9957590938,-0.012587865196651782,-0.053626293278855264,-0.0032963590376352547,0.014987854879781937,-0.015142185483660309,-0.004784072405368489,-0.10113156852091731,-0.17892385851207382,-0.040193067793326764,-0.0717062759324123,-0.08697115995719085,-0.10201603929656733
2008-05,564554.6216916196,259691.1726687958,409355.786448716,490619.3364708474,589100.7968114195,813986.02601129,0.0010674004330095688,0.06108990704347672,-0.0027609722150832017,-0.007187049711491311,-0.01160283527418704,0.009721565484078543,-0.08113938823310074,-0.08585146504114338,-0.030461742917061607,-0.06662305092804144,-0.08376081316814987,-0.0649777550061591
2008-06,564805.3857060504,253571.1961914178,405093.0011457308,490584.8364986539,592008.4497067429,818043.7631365117,0.00044418025253145643,-0.0235663631323475,-0.010413399404870183,-7.031922639177957e-05,0.004935747687087488,0.00498502062142947,-0.08216267758255535,-0.11050167800898136,-0.0567148652916728,-0.07114873711322522,-0.06901009727433915,-0.06910421247456311
2008-07,561994.9550942256,250569.7568766548,401139.7961151236,492877.0360358245,606363.5414221144,815050.8423498899,-0.00497592743084696,-0.011836672933850267,-0.0097587591477174,0.004672381546747761,0.024248119638296428,-0.003658631630105491,-0.08490734416498646,-0.11720033783367434,-0.05947129430316711,-0.05819487649183708,-0.045613594680385505,-0.07333054576516385
2008-08,551447.3475175252,242400.0575829463,393829.3435573825,485716.9811790597,598897.2103266937,811991.0580147022,-0.018768153488018302,-0.03260449064381754,-0.018224201708581078,-0.014527061180112155,-0.012313291590569153,-0.0037541024144776003,-0.09593009923472262,-0.1409154789894742,-0.08061619852363999,-0.0670691880367782,-0.04312508926287695,-0.0744156579194799
2008-09,547644.2985895728,237768.3352326429,398565.6492890755,481420.9482657947,593101.0867038668,811419.219277609,-0.006896486029124627,-0.019107760932434936,0.012026289582464544,-0.008844724561279604,-0.00967799402449232,-0.0007042426532273272,-0.09077656648191257,-0.1126860894671815,-0.07730395352659747,-0.06631774330150886,-0.04592982941268675,-0.046050151438000175
2008-10,549098.9725114311,238573.5328670718,393203.6317575367,480520.5288912317,603185.6471395176,806361.3487666781,0.002656238594293203,0.003386479674179821,-0.013453285653450164,-0.0018703369219943422,0.017003105645439387,-0.00623336296548882,-0.09240028341914952,-0.13883993598401878,-0.07438980079019342,-0.07314365107026533,-0.02780658264849767,-0.061143055085639
2008-11,546235.2735862044,232938.1665582293,388600.9944862055,474992.577005693,600052.0333024359,803638.8001699526,-0.005215269138328371,-0.02362108755786585,-0.011705480060696272,-0.011504090987109472,-0.005195106766784363,-0.0033763381651287228,-0.08265718188152416,-0.1220634948227769,-0.07446710482613517,-0.07820974286070981,-0.029643450059951615,-0.03700858187045597
2008-12,535602.6382167968,236522.1282826618,379150.3833192756,468961.1629382819,585663.4485301478,795819.3537439647,-0.019465303475553752,0.015385893077923818,-0.024319575351126277,-0.012697912260929534,-0.023978895118643817,-0.009730050893926756,-0.09265034945061557,-0.10641327071649631,-0.09108614153216454,-0.07560143670223707,-0.04235473432972103,-0.044207039801549164
2009-01,527404.1544413018,243762.6759929688,369924.1911082214,458987.1398875247,587858.6144024404,793896.4023299013,-0.015307026497835219,0.030612559437373177,-0.02433385964240209,-0.021268334862240668,0.003748169495299436,-0.002416316473100033,-0.09713561511882673,-0.08583439381255198,-0.107473985462468,-0.07962419162504963,-0.02986270891676801,-0.038153678042912365
2009-02,518105.5819775471,240177.3424763831,368479.9119928411,449057.8971388269,580561.6310138077,767539.077918517,-0.0176308290055186,-0.014708295689571105,-0.0039042570075061844,-0.021632943247889225,-0.012412820378672307,-0.03319995447016977,-0.10707196575745015,-0.04982051385814923,-0.10853890422954038,-0.08555671046264779,-0.05125524363608125,-0.0687937031625836
2009-03,509690.9802884457,225904.7463687823,366065.4615308151,453940.1070524326,548626.8634716863,754582.3762151933,-0.016241094444464088,-0.059425239535258245,-0.006552461568306356,0.010872116813249955,-0.05500667945684812,-0.01688083652816863,-0.10759342746527367,-0.1264595551942772,-0.11116093766395618,-0.06764313256046017,-0.09344849129883215,-0.0684446629069767
2009-04,507576.1698352578,230152.9986849003,361465.9926400437,448764.5129061392,548615.1281003243,745090.3916648102,-0.004149201251297585,0.018805502692638587,-0.012564607629294788,-0.011401491222928217,-2.1390442472513094e-05,-0.012579123034906603,-0.09996670413181397,-0.05960213637372269,-0.11942616420587371,-0.0918841005166875,-0.07952995467831314,-0.0757410905620356
2009-05,508984.837399972,217644.9156245609,359157.1600045072,449666.1073529071,543734.2216803657,762225.4797080437,0.002775283097256942,-0.0543468176900187,-0.006387413152405985,0.0020090591409052116,-0.008896776938797757,0.022997327887891883,-0.09843119187500315,-0.1619086879701519,-0.12262835437040454,-0.08347251335939498,-0.0770098688995261,-0.06358898635752297
2009-06,502671.2446411297,212066.388748692,358835.2545514896,442957.2362066048,537995.5029305387,766410.5688404128,-0.012404284558050538,-0.025631321824636122,-0.0008962802050600516,-0.01491967270069805,-0.010554271776552882,0.005490618253763957,-0.11000982398078285,-0.1636810807620055,-0.114190436426721,-0.09708331107820489,-0.09123678353401876,-0.06311788760313863
2009-07,494313.0947808928,213383.3559022689,356350.9269218769,432786.9297665869,538360.0558834294,749063.7328179105,-0.016627467652747918,0.006210164474190094,-0.006923309786597942,-0.02296001873028264,0.0006776133832064879,-0.02263386848741955,-0.12043143750638308,-0.14840737939771098,-0.11165401594907498,-0.12191703381544838,-0.1121496938605433,-0.08096072797339937
2009-08,489769.2639020534,207738.6589698594,347272.3148330709,438500.8932102922,540641.0674525617,755211.145210726,-0.009192212237172148,-0.02645331407663687,-0.025476605792009943,0.01320271720494648,0.004236962873089167,0.008206794860684985,-0.11184763856990287,-0.14299253456747307,-0.11821625149556203,-0.09720905341656416,-0.09727235637373188,-0.06992677104450096
2009-09,488463.0624608266,208504.0811835674,346651.2476935901,436766.1491325672,539684.4170104847,753865.1897496912,-0.002666973077934953,0.0036845439240997813,-0.0017884153528890945,-0.003956078777912708,-0.001769474240246982,-0.001782224043660352,-0.10806510043319018,-0.12307885328987167,-0.13025307546720466,-0.09275624439294938,-0.09006334820636208,-0.07093007924948724
2009-10,488440.9903482909,211625.3647830301,346396.8238051671,443350.1387231026,533815.1635741226,724810.8568172887,-4.518686105869918e-05,0.014969892108321448,-0.0007339477071430789,0.015074404469328506,-0.010875343536643434,-0.03854048883998684,-0.11046821283548736,-0.11295539685475786,-0.11903961248565564,-0.07735442698753636,-0.11500685385066789,-0.10113392968812329
2009-11,485211.1873235931,218406.2642519479,338750.4259945714,429153.8288414578,532354.4833104291,763895.4381199437,-0.006612473335611546,0.03204199778164574,-0.022074099082665,-0.03202053781359293,-0.0027363034311606027,0.05392383534965117,-0.11171758620048311,-0.062385235193515465,-0.12828214337831212,-0.09650413581870732,-0.11281946603768289,-0.049454259851072324
2009-12,487637.9314302581,208602.3992600855,339294.4815943912,432862.1718093751,539925.7997243985,765606.8511942853,0.005001418289736437,-0.044888204216308125,0.0016060661716437163,0.008641057631778137,0.014222321124990556,0.0022403760893685565,-0.08955278291053514,-0.11804277775316696,-0.10511898043189494,-0.0769765046272235,-0.07809544700209314,-0.03796402086421169
2010-01,484635.5532960355,201891.3897475386,344093.7141020058,424945.4123553257,546198.0953277524,765435.7684409524,-0.006156982344290851,-0.03217129590240053,0.014144740831216529,-0.01828933080697981,0.011616958490510143,-0.0002234603217905473,-0.08109265121465081,-0.1717707031023813,-0.0698264066722224,-0.07416706171885545,-0.07086826331027907,-0.03584930452565804
2010-02,478752.0001430424,187766.4269392236,342168.7203488636,431885.2520457922,537928.55326763,769849.5891943815,-0.012140159988219379,-0.06996317587381018,-0.005594388023524299,0.01633113216119053,-0.015140188387438691,0.005766415596724972,-0.0759566837405935,-0.21821756788866598,-0.07140468391256216,-0.038241494476436655,-0.0734341979709019,0.003010284873221414
2010-03,478181.9755563604,194338.462975416,341911.2682412555,429271.5335374285,539957.5318054054,769780.0642056117,-0.0011906469038494016,0.03500112423356527,-0.000752412749317366,-0.006051881827366934,0.003771836474287138,-9.030983421387528e-05,-0.061819820147206994,-0.13973271434428092,-0.06598326208801963,-0.054343234122193995,-0.01580187235350039,0.02014052868110494
2010-04,478213.2368839523,196976.1209383628,338413.1621206771,432249.0922801925,535781.1933075757,747715.9453650931,6.537537839124141e-05,0.013572495750779012,-0.010231034907308367,0.006936306067694131,-0.007734568464793368,-0.028662886799086018,-0.05784931345542832,-0.14415140335390353,-0.06377593186843211,-0.03680197553722564,-0.023393330105913046,0.0035238056075537205
2010-05,480865.4398132462,195820.0911268857,336525.9486653513,432169.1588375132,529686.4022135932,734477.4740607821,0.005546067579759395,-0.005868883019778948,-0.005576655008036724,-0.00018492448939022577,-0.011375522638928381,-0.017705214642502964,-0.055246041768880705,-0.1002772081077381,-0.06301200103840865,-0.03891097912269825,-0.025835819977191865,-0.036403933463218796
2010-06,481229.6118841681,196503.2054900282,334193.3157020742,432628.24888343,537465.2519244322,722652.9084612172,0.0007573263552966836,0.00348847944667674,-0.006931509954962611,0.0010622924762879737,0.0146857644038636,-0.01609928965443863,-0.04265537960554977,-0.0733882599241451,-0.06867201184068583,-0.023318249435611782,-0.0009856049041639947,-0.057094281000588776
2010-07,474790.8498590812,193111.0497320105,331236.6954069495,433412.2406990276,519231.0377092984,748762.989785858,-0.013379812601051477,-0.01726259757217974,-0.008847036000446118,0.0018121604810157343,-0.033926312724115504,0.0361308741982902,-0.03949368351341154,-0.09500415852276345,-0.07047612232094236,0.0014448470816295078,-0.03553201610164203,-0.0004014919143410234
2010-08,474411.9753028239,194224.640909224,330070.502246113,431020.5218514691,526418.3021729878,742742.9499969746,-0.0007979820090673329,0.005766584453654522,-0.0035207245362827155,-0.005518346329353774,0.013842131809757685,-0.008039980435738614,-0.03135617061159801,-0.06505297630999018,-0.04953407413207289,-0.017058964929486997,-0.026307223286958004,-0.016509548743844915
